,imagenet_class,original_score,perturbated_score
0,"tench, Tinca tinca",1.205605e-09,4.972346e-10
1,"goldfish, Carassius auratus",3.24018e-09,2.663861e-10
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2.7761127e-09,8.513003e-09
3,"tiger shark, Galeocerdo cuvieri",1.0443159e-09,1.726901e-09
4,"hammerhead, hammerhead shark",4.876776e-09,1.0244751e-09
5,"electric ray, crampfish, numbfish, torpedo",6.7733295e-09,3.0364062e-09
6,stingray,3.7530365e-09,3.1772505e-09
7,cock,9.35002e-09,2.1529814e-10
8,hen,1.8658783e-09,9.0922464e-11
9,"ostrich, Struthio camelus",1.585044e-08,7.031726e-10
10,"brambling, Fringilla montifringilla",1.8161754e-10,1.5575515e-11
11,"goldfinch, Carduelis carduelis",4.3459802e-10,1.1722717e-10
12,"house finch, linnet, Carpodacus mexicanus",6.807116e-10,2.5314513e-11
13,"junco, snowbird",1.999207e-10,5.2964553e-11
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",2.2313107e-10,9.855728e-12
15,"robin, American robin, Turdus migratorius",1.2297937e-09,5.272698e-11
16,bulbul,1.09628404e-10,2.9078143e-11
17,jay,1.3774638e-09,7.7354845e-11
18,magpie,8.495852e-09,1.0595061e-09
19,chickadee,8.2422835e-10,7.402696e-11
20,"water ouzel, dipper",5.28851e-10,1.7010936e-10
21,kite,1.6276869e-09,5.943561e-11
22,"bald eagle, American eagle, Haliaeetus leucocephalus",8.159091e-09,1.0871135e-08
23,vulture,7.338677e-09,4.3302203e-10
24,"great grey owl, great gray owl, Strix nebulosa",1.6130653e-09,2.8148758e-10
25,"European fire salamander, Salamandra salamandra",1.7353261e-09,3.1016714e-10
26,"common newt, Triturus vulgaris",6.986548e-10,5.7497195e-11
27,eft,7.829953e-10,1.9854483e-10
28,"spotted salamander, Ambystoma maculatum",1.6421905e-09,1.0763466e-10
29,"axolotl, mud puppy, Ambystoma mexicanum",8.923464e-10,7.103545e-11
30,"bullfrog, Rana catesbeiana",3.9540518e-09,2.7294267e-10
31,"tree frog, tree-frog",3.5653863e-10,1.2363739e-11
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1.7649547e-09,5.861881e-11
33,"loggerhead, loggerhead turtle, Caretta caretta",1.5482083e-08,7.5640285e-09
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",2.523532e-07,3.4887387e-07
35,mud turtle,4.7795234e-09,3.950419e-10
36,terrapin,5.1429726e-08,1.573325e-08
37,"box turtle, box tortoise",5.583841e-10,1.602543e-11
38,banded gecko,2.5745412e-09,8.6869935e-11
39,"common iguana, iguana, Iguana iguana",8.2070817e-10,1.5738846e-10
40,"American chameleon, anole, Anolis carolinensis",2.339559e-09,1.5511692e-10
41,"whiptail, whiptail lizard",1.7652889e-08,4.4998387e-11
42,agama,6.1714667e-10,6.73946e-11
43,"frilled lizard, Chlamydosaurus kingi",9.876018e-10,2.533601e-11
44,alligator lizard,3.0753158e-09,4.1528208e-11
45,"Gila monster, Heloderma suspectum",1.7301772e-09,8.6399984e-11
46,"green lizard, Lacerta viridis",3.1512364e-09,5.3979217e-11
47,"African chameleon, Chamaeleo chamaeleon",8.0834334e-10,9.68832e-12
