,imagenet_class,original_score,perturbated_score
0,"tench, Tinca tinca",9.5879065e-09,2.5408943e-07
1,"goldfish, Carassius auratus",3.553348e-08,4.2223246e-07
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",3.7459458e-08,1.2623583e-07
3,"tiger shark, Galeocerdo cuvieri",5.2297768e-08,1.07397256e-07
4,"hammerhead, hammerhead shark",4.9305102e-09,1.8712708e-08
5,"electric ray, crampfish, numbfish, torpedo",3.174506e-09,8.982212e-08
6,stingray,3.3488098e-10,1.7119062e-08
7,cock,6.232633e-08,2.016142e-06
8,hen,2.4868982e-07,7.880036e-06
9,"ostrich, Struthio camelus",5.20341e-08,2.0675121e-07
10,"brambling, Fringilla montifringilla",3.162694e-07,2.880445e-06
11,"goldfinch, Carduelis carduelis",1.3570936e-07,2.6959917e-05
12,"house finch, linnet, Carpodacus mexicanus",4.924967e-08,2.7645257e-08
13,"junco, snowbird",4.71045e-07,3.6108725e-06
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",1.928483e-08,7.180611e-08
15,"robin, American robin, Turdus migratorius",3.6451905e-08,9.20251e-06
16,bulbul,5.839222e-09,3.5464934e-06
17,jay,1.2995412e-07,6.985422e-06
18,magpie,5.8080573e-08,2.1329204e-05
19,chickadee,2.1434764e-07,6.36416e-07
20,"water ouzel, dipper",3.8678266e-08,1.171488e-05
21,kite,2.8181782e-07,6.57804e-05
22,"bald eagle, American eagle, Haliaeetus leucocephalus",7.00826e-08,1.3244438e-05
23,vulture,7.5848064e-08,8.8808986e-07
24,"great grey owl, great gray owl, Strix nebulosa",1.0053944e-06,8.272865e-07
25,"European fire salamander, Salamandra salamandra",5.0706767e-10,6.6809235e-08
26,"common newt, Triturus vulgaris",5.0204224e-10,4.4250445e-08
27,eft,7.180856e-10,1.622285e-08
28,"spotted salamander, Ambystoma maculatum",1.2684757e-10,9.1432195e-09
29,"axolotl, mud puppy, Ambystoma mexicanum",5.2273435e-08,4.212989e-07
30,"bullfrog, Rana catesbeiana",8.398718e-09,2.0989646e-08
31,"tree frog, tree-frog",5.692151e-10,3.7976156e-09
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4.4032286e-10,3.4250014e-09
33,"loggerhead, loggerhead turtle, Caretta caretta",5.295227e-09,8.974039e-09
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",3.2037654e-08,1.0183773e-07
35,mud turtle,2.9092702e-09,2.4163173e-08
36,terrapin,3.119665e-07,5.8597976e-07
37,"box turtle, box tortoise",2.1634958e-09,3.722913e-09
38,banded gecko,1.03782165e-08,2.2790823e-08
39,"common iguana, iguana, Iguana iguana",2.6791027e-09,3.4702095e-09
40,"American chameleon, anole, Anolis carolinensis",1.7590338e-09,6.481773e-08
41,"whiptail, whiptail lizard",3.0872844e-08,1.9416655e-08
42,agama,1.6620044e-10,6.951803e-09
43,"frilled lizard, Chlamydosaurus kingi",1.9933792e-09,4.0419623e-09
44,alligator lizard,2.1802325e-08,8.230695e-08
45,"Gila monster, Heloderma suspectum",1.9904274e-09,2.9385745e-09
46,"green lizard, Lacerta viridis",6.1122085e-09,2.4724486e-08
47,"African chameleon, Chamaeleo chamaeleon",1.702464e-09,3.2981609e-09
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",2.9379545e-09,6.7730915e-10
49,"African crocodile, Nile crocodile, Crocodylus niloticus",1.0149505e-09,5.9022036e-09
50,"American alligator, Alligator mississipiensis",1.7541856e-09,3.4671201e-09
51,triceratops,2.308465e-09,1.6935401e-09
52,"thunder snake, worm snake, Carphophis amoenus",6.348676e-09,3.4770402e-09
53,"ringneck snake, ring-necked snake, ring snake",1.4167189e-09,3.6049677e-08
54,"hognose snake, puff adder, sand viper",8.799347e-09,3.017526e-08
55,"green snake, grass snake",1.8661566e-09,4.0492085e-09
56,"king snake, kingsnake",1.2272853e-08,1.0201678e-07
57,"garter snake, grass snake",3.5047567e-08,2.6292287e-08
58,water snake,8.790691e-09,1.0258615e-07
59,vine snake,1.419364e-09,1.7223773e-08
60,"night snake, Hypsiglena torquata",2.0939876e-08,2.5969126e-08
61,"boa constrictor, Constrictor constrictor",1.9970596e-09,1.0054623e-09
62,"rock python, rock snake, Python sebae",1.16515055e-08,2.149419e-09
63,"Indian cobra, Naja naja",5.367424e-09,9.9474484e-08
64,green mamba,2.231802e-09,7.498534e-09
65,sea snake,4.9384914e-09,4.3464144e-08
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",1.0522364e-08,1.9993305e-08
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",1.6741558e-09,1.4605634e-09
68,"sidewinder, horned rattlesnake, Crotalus cerastes",2.0136441e-09,1.8359797e-09
69,trilobite,2.452207e-09,8.773343e-10
70,"harvestman, daddy longlegs, Phalangium opilio",9.054022e-10,3.4937795e-09
71,scorpion,2.9101914e-09,1.543926e-08
72,"black and gold garden spider, Argiope aurantia",3.3949492e-09,1.32086955e-08
73,"barn spider, Araneus cavaticus",4.6054172e-10,2.9575127e-09
74,"garden spider, Aranea diademata",1.8378097e-09,2.0551487e-09
75,"black widow, Latrodectus mactans",2.921625e-10,1.0721648e-08
76,tarantula,7.677563e-09,4.259395e-09
77,"wolf spider, hunting spider",1.2069375e-09,1.1250831e-09
78,tick,1.6634395e-08,3.412529e-08
79,centipede,9.124203e-09,9.033924e-09
80,black grouse,4.1794866e-08,9.556462e-05
81,ptarmigan,3.9328146e-08,6.0929993e-05
82,"ruffed grouse, partridge, Bonasa umbellus",8.362935e-07,0.0001273849
83,"prairie chicken, prairie grouse, prairie fowl",5.510894e-07,0.009006321
84,peacock,1.3108796e-07,5.2752716e-06
85,quail,1.4810941e-07,1.8197494e-05
86,partridge,3.3515593e-07,7.224019e-05
87,"African grey, African gray, Psittacus erithacus",3.1630648e-07,1.9283317e-07
88,macaw,2.4999734e-08,8.356628e-08
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",5.7286735e-09,7.97759e-07
90,lorikeet,2.2348065e-08,1.9273426e-07
91,coucal,1.9354245e-09,5.0698776e-07
92,bee eater,4.3230874e-11,2.7530808e-08
93,hornbill,1.13985614e-07,1.0712976e-05
94,hummingbird,3.338181e-07,2.0422492e-06
95,jacamar,3.5362718e-10,1.1755662e-07
96,toucan,4.0935305e-08,1.7701124e-05
97,drake,2.8656375e-08,3.0115207e-06
98,"red-breasted merganser, Mergus serrator",3.0334782e-08,2.9613062e-05
99,goose,4.8535536e-08,5.8503974e-06
100,"black swan, Cygnus atratus",3.9154484e-09,1.0821811e-07
101,tusker,1.5229548e-10,8.279087e-10
102,"echidna, spiny anteater, anteater",4.748166e-10,4.9275264e-09
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",1.6241994e-08,1.9494545e-08
104,"wallaby, brush kangaroo",6.624829e-08,6.0760726e-07
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",8.722802e-08,3.4379084e-09
106,wombat,3.5969684e-08,2.0451393e-08
107,jellyfish,4.3314854e-09,3.204813e-09
108,"sea anemone, anemone",5.9121223e-09,2.5539073e-08
109,brain coral,2.5398832e-09,2.5275144e-09
110,"flatworm, platyhelminth",1.0384513e-08,3.294455e-07
111,"nematode, nematode worm, roundworm",7.802722e-09,2.379508e-09
