,imagenet_class,original_score,perturbated_score
0,"tench, Tinca tinca",3.4113178e-08,2.0332525e-09
1,"goldfish, Carassius auratus",4.945769e-07,1.6613436e-07
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",5.0843137e-06,4.1292412e-07
3,"tiger shark, Galeocerdo cuvieri",5.873933e-06,1.6603931e-07
4,"hammerhead, hammerhead shark",4.4372864e-06,3.3127156e-07
5,"electric ray, crampfish, numbfish, torpedo",6.886995e-07,7.847538e-07
6,stingray,5.4192473e-08,4.9925486e-09
7,cock,3.5845865e-06,2.1154038e-07
8,hen,5.440546e-06,1.11204685e-07
9,"ostrich, Struthio camelus",3.8750875e-07,3.4115537e-08
10,"brambling, Fringilla montifringilla",6.979896e-07,2.6272337e-08
11,"goldfinch, Carduelis carduelis",8.9650905e-07,3.0245445e-08
12,"house finch, linnet, Carpodacus mexicanus",4.2950596e-06,7.821906e-08
13,"junco, snowbird",1.0183325e-05,2.9714467e-08
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",3.1530328e-07,2.3326545e-07
15,"robin, American robin, Turdus migratorius",1.827062e-06,1.6598507e-08
16,bulbul,1.0060121e-06,1.6700065e-08
17,jay,1.5285026e-05,9.649305e-07
18,magpie,1.79455e-06,3.4823852e-08
19,chickadee,2.402026e-06,3.9040682e-08
20,"water ouzel, dipper",1.8128668e-07,4.4527284e-09
21,kite,1.2731687e-06,6.3669745e-08
22,"bald eagle, American eagle, Haliaeetus leucocephalus",5.283132e-07,6.3880146e-09
23,vulture,1.318839e-06,1.687802e-07
24,"great grey owl, great gray owl, Strix nebulosa",3.108343e-06,2.987541e-08
25,"European fire salamander, Salamandra salamandra",7.860883e-09,3.56857e-10
26,"common newt, Triturus vulgaris",2.4011191e-08,5.162731e-10
27,eft,5.7570578e-08,1.0604314e-09
28,"spotted salamander, Ambystoma maculatum",2.0502595e-08,1.1541763e-09
29,"axolotl, mud puppy, Ambystoma mexicanum",5.189643e-06,1.9871043e-06
30,"bullfrog, Rana catesbeiana",2.0972642e-07,2.224347e-09
31,"tree frog, tree-frog",1.9472404e-07,3.2920022e-09
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2.4013158e-08,1.2656721e-09
33,"loggerhead, loggerhead turtle, Caretta caretta",4.141235e-08,7.0008768e-09
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",9.491005e-08,2.8426723e-09
35,mud turtle,5.5824067e-08,8.591633e-10
36,terrapin,1.3812972e-06,7.0172106e-08
37,"box turtle, box tortoise",4.7834362e-08,1.4075012e-09
38,banded gecko,9.806421e-08,1.8590939e-08
39,"common iguana, iguana, Iguana iguana",4.7419425e-07,8.1976665e-09
40,"American chameleon, anole, Anolis carolinensis",2.4772492e-06,4.5114433e-08
41,"whiptail, whiptail lizard",1.9375743e-07,1.349892e-08
42,agama,3.9719737e-08,1.7562302e-09
43,"frilled lizard, Chlamydosaurus kingi",2.2452733e-07,2.1973518e-08
44,alligator lizard,2.8523525e-07,1.03853575e-08
45,"Gila monster, Heloderma suspectum",8.5216406e-08,5.1054965e-09
46,"green lizard, Lacerta viridis",1.8115887e-06,5.7593933e-08
47,"African chameleon, Chamaeleo chamaeleon",2.7616463e-07,9.4766996e-08
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",1.1450641e-07,2.0651376e-09
49,"African crocodile, Nile crocodile, Crocodylus niloticus",6.936414e-08,1.6949201e-09
50,"American alligator, Alligator mississipiensis",1.2003969e-07,5.3743356e-09
51,triceratops,1.959854e-06,2.6778417e-07
52,"thunder snake, worm snake, Carphophis amoenus",1.4195089e-07,6.558764e-09
53,"ringneck snake, ring-necked snake, ring snake",5.116748e-08,1.089412e-09
54,"hognose snake, puff adder, sand viper",8.791258e-08,4.7279043e-09
55,"green snake, grass snake",6.178701e-08,3.3079643e-09
56,"king snake, kingsnake",9.5675425e-08,2.887493e-09
57,"garter snake, grass snake",4.8934357e-08,8.0678136e-10
58,water snake,3.3672627e-08,3.1941505e-10
59,vine snake,1.8398178e-07,7.1127694e-08
60,"night snake, Hypsiglena torquata",7.335276e-08,5.4395537e-09
61,"boa constrictor, Constrictor constrictor",6.369991e-08,1.4393411e-09
62,"rock python, rock snake, Python sebae",1.623136e-08,3.8719467e-10
63,"Indian cobra, Naja naja",7.0318826e-09,1.6575215e-09
64,green mamba,2.8500602e-07,1.520442e-08
65,sea snake,8.740276e-09,6.473231e-10
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",9.602195e-08,3.865743e-09
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",8.498421e-08,4.8600977e-09
68,"sidewinder, horned rattlesnake, Crotalus cerastes",2.6246436e-08,1.7641769e-09
69,trilobite,1.4914455e-07,1.3904357e-08
70,"harvestman, daddy longlegs, Phalangium opilio",2.2124311e-07,2.3204623e-09
71,scorpion,9.386857e-08,1.2138212e-07
72,"black and gold garden spider, Argiope aurantia",5.121657e-07,6.0755103e-09
73,"barn spider, Araneus cavaticus",9.521739e-08,2.6832228e-09
74,"garden spider, Aranea diademata",2.0174735e-07,2.528677e-09
75,"black widow, Latrodectus mactans",1.8069534e-07,1.7998335e-09
76,tarantula,5.910843e-07,3.7914663e-08
77,"wolf spider, hunting spider",3.6010897e-07,5.47791e-09
78,tick,2.8116656e-07,1.1640926e-08
79,centipede,3.8894458e-07,9.5847925e-09
80,black grouse,3.0849404e-07,1.5712455e-08
81,ptarmigan,2.3034775e-07,7.915606e-09
82,"ruffed grouse, partridge, Bonasa umbellus",2.1111518e-06,4.9415675e-08
83,"prairie chicken, prairie grouse, prairie fowl",7.1090074e-07,1.2163711e-08
84,peacock,4.875723e-07,1.2577956e-07
85,quail,1.5475358e-06,2.3219776e-08
86,partridge,4.3873197e-07,2.868731e-08
87,"African grey, African gray, Psittacus erithacus",4.333046e-06,1.7703574e-07
88,macaw,5.717742e-07,4.2725654e-07
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",1.3223389e-06,1.6382265e-07
90,lorikeet,3.4124585e-07,1.07125175e-07
91,coucal,8.475406e-09,1.9920023e-09
92,bee eater,9.372191e-09,1.403044e-09
93,hornbill,9.140255e-07,5.151461e-09
94,hummingbird,5.6271188e-06,6.696709e-07
95,jacamar,1.853651e-08,3.2921401e-09
96,toucan,5.803398e-07,1.45758925e-08
97,drake,7.604877e-08,5.7658864e-09
98,"red-breasted merganser, Mergus serrator",9.886247e-08,2.1098662e-08
99,goose,2.7437818e-07,1.0641479e-08
100,"black swan, Cygnus atratus",2.3511241e-07,7.115534e-09
101,tusker,5.0858233e-09,1.2832267e-10
102,"echidna, spiny anteater, anteater",2.6688605e-08,5.4547225e-09
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",7.640155e-08,1.6147158e-08
104,"wallaby, brush kangaroo",1.1707316e-05,3.425561e-07
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",6.607056e-06,3.6723327e-07
106,wombat,5.366281e-06,1.8718094e-07
107,jellyfish,2.157273e-08,5.949835e-07
108,"sea anemone, anemone",2.662133e-07,1.1181946e-07
109,brain coral,9.297807e-08,5.7519504e-08
110,"flatworm, platyhelminth",1.6636157e-08,3.2514345e-09
111,"nematode, nematode worm, roundworm",6.579176e-08,2.5463441e-08
112,conch,1.4504761e-05,7.4132316e-07
113,snail,1.8733331e-06,2.6432476e-08
114,slug,4.0081557e-07,1.2607065e-09
115,"sea slug, nudibranch",5.5344863e-08,1.9124089e-08
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",7.831356e-09,2.645762e-10
117,"chambered nautilus, pearly nautilus, nautilus",5.417932e-07,1.0763141e-06
118,"Dungeness crab, Cancer magister",1.8950203e-07,9.457004e-09
119,"rock crab, Cancer irroratus",8.50423e-09,1.0852283e-10
120,fiddler crab,1.6537102e-08,8.9479363e-10
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",6.036683e-08,6.905392e-09
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",2.785356e-07,1.2091471e-08
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1.580157e-07,7.08805e-09
124,"crayfish, crawfish, crawdad, crawdaddy",3.8742672e-07,1.4412234e-08
125,hermit crab,1.2424753e-07,6.8975994e-09
126,isopod,1.4036605e-07,6.4613644e-08
127,"white stork, Ciconia ciconia",2.139391e-08,3.1170786e-09
128,"black stork, Ciconia nigra",8.786594e-09,3.7118175e-09
129,spoonbill,5.0901544e-08,1.598542e-08
130,flamingo,3.9080977e-08,5.0011546e-09
131,"little blue heron, Egretta caerulea",4.5467043e-08,2.055596e-09
132,"American egret, great white heron, Egretta albus",3.5180867e-07,2.5371474e-08
133,bittern,8.41552e-08,1.8897637e-09
134,crane,1.7174571e-07,1.734506e-08
135,"limpkin, Aramus pictus",6.6732866e-08,2.0422384e-09
136,"European gallinule, Porphyrio porphyrio",2.7559213e-07,8.2442035e-09
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",4.393127e-07,2.623742e-09
138,bustard,1.1313309e-07,5.5227276e-09
139,"ruddy turnstone, Arenaria interpres",7.4008355e-08,1.074908e-09
140,"red-backed sandpiper, dunlin, Erolia alpina",9.247133e-07,2.3555897e-08
141,"redshank, Tringa totanus",6.428038e-08,5.872533e-10
142,dowitcher,6.9125946e-08,8.527862e-10
143,"oystercatcher, oyster catcher",1.0541504e-07,1.570897e-09
144,pelican,1.02527835e-07,4.140697e-09
145,"king penguin, Aptenodytes patagonica",9.4528275e-07,2.8229632e-08
146,"albatross, mollymawk",8.0935706e-07,1.2607456e-08
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",1.391829e-07,3.009317e-09
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",1.2693885e-06,3.280898e-07
149,"dugong, Dugong dugon",2.4819784e-08,9.544602e-09
150,sea lion,7.9381164e-07,5.3786355e-08
151,Chihuahua,8.018587e-05,5.8449354e-05
152,Japanese spaniel,5.587574e-06,3.8637622e-06
153,"Maltese dog, Maltese terrier, Maltese",8.2359435e-07,2.3675703e-07
154,"Pekinese, Pekingese, Peke",3.1940344e-06,5.872783e-07
155,Shih-Tzu,8.638104e-07,2.8194452e-07
156,Blenheim spaniel,6.053479e-07,2.7141166e-07
157,papillon,1.3983709e-05,7.1521877e-06
158,toy terrier,8.229463e-06,7.5471917e-07
159,Rhodesian ridgeback,1.4116588e-07,1.3493308e-08
160,"Afghan hound, Afghan",4.680397e-08,2.2133657e-08
161,"basset, basset hound",3.0627086e-07,4.10078e-08
162,beagle,1.1444511e-06,1.5804964e-07
163,"bloodhound, sleuthhound",3.077242e-07,3.6962128e-08
164,bluetick,6.114605e-07,1.885117e-08
165,black-and-tan coonhound,2.4379997e-07,9.955169e-09
166,"Walker hound, Walker foxhound",1.4787427e-07,8.928643e-09
167,English foxhound,1.7443601e-07,3.133407e-08
168,redbone,7.829243e-07,3.320077e-08
169,"borzoi, Russian wolfhound",8.72678e-08,4.1728327e-08
170,Irish wolfhound,3.9519257e-08,7.465964e-10
171,Italian greyhound,1.1938962e-05,9.547625e-07
172,whippet,3.4104107e-06,3.8438031e-07
173,"Ibizan hound, Ibizan Podenco",5.6502745e-06,8.277206e-07
174,"Norwegian elkhound, elkhound",2.9082665e-05,1.916127e-07
175,"otterhound, otter hound",2.8314444e-08,4.34068e-09
176,"Saluki, gazelle hound",1.2207956e-07,5.1826113e-08
177,"Scottish deerhound, deerhound",3.8298996e-08,3.4250738e-09
178,Weimaraner,3.976822e-06,1.4815778e-07
179,"Staffordshire bullterrier, Staffordshire bull terrier",1.332869e-06,3.968908e-08
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",1.7817976e-06,1.14618544e-07
181,Bedlington terrier,4.0042548e-07,5.017223e-08
182,Border terrier,3.6440107e-07,8.131528e-09
183,Kerry blue terrier,5.9937076e-07,2.7558446e-08
184,Irish terrier,7.9456115e-08,4.7254165e-09
185,Norfolk terrier,8.1610256e-07,5.1002726e-08
186,Norwich terrier,3.6536308e-06,9.84797e-08
187,Yorkshire terrier,5.5519113e-06,3.348621e-07
188,wire-haired fox terrier,6.193158e-07,6.4294255e-08
189,Lakeland terrier,9.76115e-08,6.6952337e-09
190,"Sealyham terrier, Sealyham",2.4245423e-07,1.0436505e-07
191,"Airedale, Airedale terrier",1.4591028e-07,1.3713851e-08
192,"cairn, cairn terrier",3.4020343e-07,4.90622e-09
193,Australian terrier,3.3340086e-06,1.6206283e-07
194,"Dandie Dinmont, Dandie Dinmont terrier",2.4132538e-08,8.151576e-09
195,"Boston bull, Boston terrier",5.6201763e-05,5.432372e-06
196,miniature schnauzer,4.042677e-06,1.46771e-07
197,giant schnauzer,4.743121e-06,7.0114375e-08
198,standard schnauzer,1.5534135e-06,2.7528394e-08
