,imagenet_class,original_score,perturbated_score
0,"tench, Tinca tinca",4.5484168e-09,2.8184928e-08
1,"goldfish, Carassius auratus",3.2401024e-09,1.5308018e-08
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",3.112546e-07,3.1547043e-07
3,"tiger shark, Galeocerdo cuvieri",3.782634e-09,1.2258793e-07
4,"hammerhead, hammerhead shark",2.2427455e-08,1.06707505e-08
5,"electric ray, crampfish, numbfish, torpedo",1.8704194e-09,9.33082e-08
6,stingray,5.2360543e-09,3.3590855e-08
7,cock,2.086167e-08,7.297505e-08
8,hen,1.421337e-07,2.1725202e-07
9,"ostrich, Struthio camelus",3.931292e-09,3.319522e-07
10,"brambling, Fringilla montifringilla",7.918147e-10,8.9365976e-10
11,"goldfinch, Carduelis carduelis",4.198312e-08,4.3575128e-07
12,"house finch, linnet, Carpodacus mexicanus",1.0577479e-09,6.4255077e-09
13,"junco, snowbird",2.3070443e-09,8.110589e-09
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",6.7772987e-10,9.7518324e-08
15,"robin, American robin, Turdus migratorius",6.054806e-10,2.2721938e-09
16,bulbul,1.0830945e-08,1.835148e-08
17,jay,9.537638e-08,1.293824e-05
18,magpie,3.5802078e-08,8.709449e-08
19,chickadee,5.280215e-08,2.0428147e-06
20,"water ouzel, dipper",5.6866792e-08,4.3106922e-08
21,kite,1.6981045e-07,2.9666724e-05
22,"bald eagle, American eagle, Haliaeetus leucocephalus",6.7395655e-07,3.295319e-06
23,vulture,9.8001614e-08,6.944637e-05
24,"great grey owl, great gray owl, Strix nebulosa",3.6609094e-07,9.557932e-05
25,"European fire salamander, Salamandra salamandra",2.2066815e-09,2.1061786e-09
26,"common newt, Triturus vulgaris",3.922422e-10,2.2141958e-10
27,eft,1.4202557e-09,2.341643e-10
28,"spotted salamander, Ambystoma maculatum",5.5211116e-09,4.2557584e-09
29,"axolotl, mud puppy, Ambystoma mexicanum",1.289623e-09,5.4469396e-08
30,"bullfrog, Rana catesbeiana",1.0190165e-09,9.0889136e-11
31,"tree frog, tree-frog",9.548303e-10,7.2094015e-09
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4.9664894e-10,2.1342383e-10
33,"loggerhead, loggerhead turtle, Caretta caretta",6.014297e-08,1.305085e-07
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",1.3616665e-07,2.40669e-07
35,mud turtle,6.6184254e-09,1.6395367e-09
36,terrapin,1.9892072e-08,8.3847505e-07
37,"box turtle, box tortoise",2.8799167e-09,1.6940471e-10
38,banded gecko,5.903037e-11,7.8856016e-10
39,"common iguana, iguana, Iguana iguana",6.941992e-09,7.849546e-09
40,"American chameleon, anole, Anolis carolinensis",2.879197e-09,1.0224604e-08
41,"whiptail, whiptail lizard",1.121493e-10,1.1262429e-09
42,agama,1.7726709e-10,5.198998e-10
43,"frilled lizard, Chlamydosaurus kingi",1.8852249e-10,1.178911e-09
44,alligator lizard,9.0916463e-10,2.9477822e-09
45,"Gila monster, Heloderma suspectum",2.673137e-09,3.4606182e-10
46,"green lizard, Lacerta viridis",1.240502e-09,5.779706e-09
47,"African chameleon, Chamaeleo chamaeleon",4.1622292e-10,8.828356e-10
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",6.322082e-09,3.933721e-08
49,"African crocodile, Nile crocodile, Crocodylus niloticus",3.3974121e-09,1.9735956e-10
50,"American alligator, Alligator mississipiensis",2.2702862e-08,1.7961344e-08
51,triceratops,5.2989146e-10,5.4425882e-08
52,"thunder snake, worm snake, Carphophis amoenus",4.960792e-09,8.761061e-09
53,"ringneck snake, ring-necked snake, ring snake",8.554119e-09,4.6160615e-08
54,"hognose snake, puff adder, sand viper",1.0679426e-09,2.0541269e-09
55,"green snake, grass snake",6.1676975e-09,3.449169e-08
56,"king snake, kingsnake",7.0113443e-10,1.6257666e-09
57,"garter snake, grass snake",7.5164236e-10,3.1570588e-10
58,water snake,3.9704924e-09,7.5765145e-09
59,vine snake,1.7617039e-09,4.634356e-09
60,"night snake, Hypsiglena torquata",4.8269007e-09,2.0698743e-09
61,"boa constrictor, Constrictor constrictor",3.2740028e-09,4.2653965e-09
62,"rock python, rock snake, Python sebae",7.648447e-10,6.536592e-11
63,"Indian cobra, Naja naja",2.1179192e-09,1.2442393e-07
64,green mamba,1.2154446e-08,2.0059282e-08
65,sea snake,2.462103e-08,8.3225906e-08
