,imagenet_class,original_score,perturbated_score
0,"tench, Tinca tinca",4.5484168e-09,3.2987024e-09
1,"goldfish, Carassius auratus",3.2401024e-09,2.4543198e-10
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",3.112546e-07,3.7556535e-07
3,"tiger shark, Galeocerdo cuvieri",3.782634e-09,2.9596023e-08
4,"hammerhead, hammerhead shark",2.2427455e-08,6.8358066e-09
5,"electric ray, crampfish, numbfish, torpedo",1.8704194e-09,2.2721466e-08
6,stingray,5.2360543e-09,7.273324e-08
7,cock,2.086167e-08,4.8380757e-09
8,hen,1.421337e-07,1.7801046e-08
9,"ostrich, Struthio camelus",3.931292e-09,7.704976e-09
10,"brambling, Fringilla montifringilla",7.918147e-10,4.8147805e-11
11,"goldfinch, Carduelis carduelis",4.198312e-08,7.821854e-08
12,"house finch, linnet, Carpodacus mexicanus",1.0577479e-09,7.7012696e-10
13,"junco, snowbird",2.3070443e-09,2.2155862e-09
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",6.7772987e-10,1.445421e-09
15,"robin, American robin, Turdus migratorius",6.054806e-10,1.012544e-10
16,bulbul,1.0830945e-08,8.9623015e-10
17,jay,9.537638e-08,5.3482086e-07
18,magpie,3.5802078e-08,2.0526731e-09
19,chickadee,5.280215e-08,1.8797036e-07
20,"water ouzel, dipper",5.6866792e-08,1.50227e-08
21,kite,1.6981045e-07,1.6655522e-07
22,"bald eagle, American eagle, Haliaeetus leucocephalus",6.7395655e-07,1.2217404e-07
23,vulture,9.8001614e-08,7.726996e-08
24,"great grey owl, great gray owl, Strix nebulosa",3.6609094e-07,6.921258e-08
25,"European fire salamander, Salamandra salamandra",2.2066815e-09,1.5339505e-10
26,"common newt, Triturus vulgaris",3.922422e-10,3.193375e-11
27,eft,1.4202557e-09,4.285648e-11
28,"spotted salamander, Ambystoma maculatum",5.5211116e-09,4.8667465e-10
29,"axolotl, mud puppy, Ambystoma mexicanum",1.289623e-09,5.316717e-10
30,"bullfrog, Rana catesbeiana",1.0190165e-09,7.6097864e-11
31,"tree frog, tree-frog",9.548303e-10,1.0711729e-09
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4.9664894e-10,1.3731923e-10
33,"loggerhead, loggerhead turtle, Caretta caretta",6.014297e-08,7.7457514e-08
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",1.3616665e-07,1.5460088e-07
35,mud turtle,6.6184254e-09,3.6883216e-10
36,terrapin,1.9892072e-08,2.9061919e-08
37,"box turtle, box tortoise",2.8799167e-09,8.0147264e-11
38,banded gecko,5.903037e-11,2.9548208e-11
39,"common iguana, iguana, Iguana iguana",6.941992e-09,2.0026731e-09
40,"American chameleon, anole, Anolis carolinensis",2.879197e-09,1.055852e-09
41,"whiptail, whiptail lizard",1.121493e-10,5.624145e-11
42,agama,1.7726709e-10,5.675796e-11
43,"frilled lizard, Chlamydosaurus kingi",1.8852249e-10,2.1092163e-10
44,alligator lizard,9.0916463e-10,1.170834e-10
45,"Gila monster, Heloderma suspectum",2.673137e-09,4.9264225e-11
46,"green lizard, Lacerta viridis",1.240502e-09,4.5367474e-10
47,"African chameleon, Chamaeleo chamaeleon",4.1622292e-10,3.3460283e-11
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",6.322082e-09,2.271552e-09
49,"African crocodile, Nile crocodile, Crocodylus niloticus",3.3974121e-09,7.453287e-10
50,"American alligator, Alligator mississipiensis",2.2702862e-08,9.7763944e-08
51,triceratops,5.2989146e-10,3.6668224e-10
52,"thunder snake, worm snake, Carphophis amoenus",4.960792e-09,4.0176878e-10
53,"ringneck snake, ring-necked snake, ring snake",8.554119e-09,1.2467773e-09
54,"hognose snake, puff adder, sand viper",1.0679426e-09,1.6223763e-10
55,"green snake, grass snake",6.1676975e-09,1.8304273e-09
56,"king snake, kingsnake",7.0113443e-10,1.3653254e-11
57,"garter snake, grass snake",7.5164236e-10,4.5674027e-11
58,water snake,3.9704924e-09,4.495464e-09
59,vine snake,1.7617039e-09,1.6248226e-10
60,"night snake, Hypsiglena torquata",4.8269007e-09,2.9876973e-10
61,"boa constrictor, Constrictor constrictor",3.2740028e-09,1.7078292e-09
62,"rock python, rock snake, Python sebae",7.648447e-10,3.2376248e-11
63,"Indian cobra, Naja naja",2.1179192e-09,2.8311955e-09
64,green mamba,1.2154446e-08,1.6519698e-09
65,sea snake,2.462103e-08,1.1485944e-08
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",4.8001264e-10,7.375728e-11
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",1.6706924e-09,1.0118837e-10
68,"sidewinder, horned rattlesnake, Crotalus cerastes",3.621163e-10,9.2381e-11
69,trilobite,1.0949961e-09,5.3385367e-09
70,"harvestman, daddy longlegs, Phalangium opilio",1.5493521e-09,4.2494447e-10
71,scorpion,2.2409399e-09,1.1581941e-09
72,"black and gold garden spider, Argiope aurantia",9.279014e-08,1.2063291e-09
73,"barn spider, Araneus cavaticus",5.5056004e-09,2.1030309e-09
74,"garden spider, Aranea diademata",1.5685284e-08,6.2617805e-10
75,"black widow, Latrodectus mactans",4.748427e-08,8.240949e-09
76,tarantula,8.139944e-10,1.2701413e-09
77,"wolf spider, hunting spider",2.7565505e-09,2.0639759e-09
78,tick,3.6241378e-08,5.3879194e-07
79,centipede,2.276981e-09,8.7878815e-10
80,black grouse,1.0480247e-08,1.9040005e-09
81,ptarmigan,8.063262e-08,1.6315322e-08
82,"ruffed grouse, partridge, Bonasa umbellus",6.169933e-09,8.3496887e-10
83,"prairie chicken, prairie grouse, prairie fowl",1.4035914e-09,2.4006316e-10
84,peacock,3.9587413e-09,1.885757e-08
85,quail,3.1040412e-09,3.2541003e-10
86,partridge,1.3391809e-09,1.5682289e-10
87,"African grey, African gray, Psittacus erithacus",1.0825029e-06,1.7584274e-05
88,macaw,2.6935645e-08,6.1907826e-08
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",2.905603e-07,1.4409211e-06
90,lorikeet,5.3297318e-09,2.5054106e-10
91,coucal,4.1199175e-10,1.2287167e-10
92,bee eater,7.217026e-10,1.1730805e-10
93,hornbill,7.4341173e-09,5.164149e-10
94,hummingbird,6.1700944e-10,1.48715e-10
95,jacamar,2.2125342e-10,1.4679938e-11
96,toucan,7.4195823e-09,2.1706771e-10
97,drake,4.792008e-08,1.7466734e-08
98,"red-breasted merganser, Mergus serrator",6.9069532e-09,1.2084941e-09
99,goose,2.3678515e-06,1.1132124e-06
100,"black swan, Cygnus atratus",9.895159e-07,2.5951317e-07
101,tusker,3.416167e-08,2.8793822e-08
102,"echidna, spiny anteater, anteater",7.991628e-10,3.3476597e-09
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",4.167045e-09,2.0885386e-07
104,"wallaby, brush kangaroo",1.5379145e-08,1.9843385e-09
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",1.7631697e-09,1.4075415e-09
106,wombat,3.971492e-09,4.6912993e-09
107,jellyfish,2.7507744e-08,7.783383e-08
108,"sea anemone, anemone",6.727255e-09,1.452192e-08
109,brain coral,6.461452e-08,2.029135e-08
110,"flatworm, platyhelminth",1.1296559e-09,1.4733708e-08
111,"nematode, nematode worm, roundworm",4.068272e-09,2.6522976e-08
112,conch,3.3847172e-08,2.1501874e-08
113,snail,1.1885397e-08,2.4709768e-09
114,slug,2.737082e-09,3.4596555e-09
115,"sea slug, nudibranch",1.3593129e-09,9.789278e-10
