,imagenet_class,original_score,perturbated_score
0,"tench, Tinca tinca",1.87856e-09,3.03803e-07
1,"goldfish, Carassius auratus",8.553581e-09,1.5883488e-06
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",1.0340445e-07,2.4241124e-06
3,"tiger shark, Galeocerdo cuvieri",1.4921309e-08,2.0716232e-06
4,"hammerhead, hammerhead shark",1.659074e-08,1.0117827e-06
5,"electric ray, crampfish, numbfish, torpedo",1.5012867e-07,4.3602995e-06
6,stingray,4.6572495e-08,4.776578e-06
7,cock,2.9988815e-08,2.6418347e-06
8,hen,2.8698667e-08,2.023412e-06
9,"ostrich, Struthio camelus",8.486012e-09,2.0184764e-06
10,"brambling, Fringilla montifringilla",2.7570774e-08,1.5276546e-06
11,"goldfinch, Carduelis carduelis",7.478378e-08,7.145829e-06
12,"house finch, linnet, Carpodacus mexicanus",6.692587e-08,9.388475e-06
13,"junco, snowbird",4.8345594e-08,8.782423e-06
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",1.9178653e-07,8.614219e-05
15,"robin, American robin, Turdus migratorius",1.1607995e-07,2.7482367e-06
16,bulbul,4.317873e-07,1.1360802e-05
17,jay,7.9595725e-07,8.504021e-05
18,magpie,6.6591625e-08,5.9362656e-06
19,chickadee,1.5649897e-08,8.042796e-06
20,"water ouzel, dipper",4.9546102e-08,2.074747e-06
21,kite,1.9985244e-08,9.1964375e-07
22,"bald eagle, American eagle, Haliaeetus leucocephalus",1.6481797e-08,1.2583472e-06
23,vulture,1.1418524e-08,1.0041684e-06
24,"great grey owl, great gray owl, Strix nebulosa",6.2318475e-09,1.6078582e-06
25,"European fire salamander, Salamandra salamandra",5.642067e-07,6.9627963e-06
26,"common newt, Triturus vulgaris",1.1189519e-07,1.2880837e-06
27,eft,1.1773389e-07,2.8136508e-06
28,"spotted salamander, Ambystoma maculatum",1.4335805e-07,4.275682e-06
29,"axolotl, mud puppy, Ambystoma mexicanum",4.977302e-09,9.74093e-06
30,"bullfrog, Rana catesbeiana",4.743764e-08,6.5981367e-06
31,"tree frog, tree-frog",3.372465e-09,7.912895e-06
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1.3237586e-08,7.804257e-06
33,"loggerhead, loggerhead turtle, Caretta caretta",3.601837e-08,7.594405e-07
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",6.689766e-08,5.479916e-06
35,mud turtle,7.621397e-08,2.4277913e-06
36,terrapin,1.11165654e-07,3.0500923e-05
37,"box turtle, box tortoise",9.605352e-09,6.934841e-07
38,banded gecko,1.7416783e-08,1.2134217e-06
39,"common iguana, iguana, Iguana iguana",1.0269955e-06,1.585577e-05
40,"American chameleon, anole, Anolis carolinensis",6.439489e-08,9.707526e-06
41,"whiptail, whiptail lizard",1.9909796e-08,9.4267966e-07
42,agama,1.2182553e-06,2.0903068e-05
43,"frilled lizard, Chlamydosaurus kingi",9.336649e-08,2.6742724e-05
44,alligator lizard,9.248907e-09,1.2104593e-06
45,"Gila monster, Heloderma suspectum",1.3635018e-08,1.065754e-06
46,"green lizard, Lacerta viridis",7.6641086e-08,1.8965186e-05
47,"African chameleon, Chamaeleo chamaeleon",2.4969276e-07,2.5054154e-05
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",2.3896133e-08,3.4622162e-06
49,"African crocodile, Nile crocodile, Crocodylus niloticus",2.94565e-08,1.5966943e-06
50,"American alligator, Alligator mississipiensis",7.373844e-09,1.1444158e-06
51,triceratops,1.7436994e-06,0.00014076233
