,imagenet_class,original_score,perturbated_score
0,"tench, Tinca tinca",9.966947e-08,2.0769942e-07
1,"goldfish, Carassius auratus",1.6321289e-06,1.07704345e-05
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",4.3758755e-06,8.290703e-06
3,"tiger shark, Galeocerdo cuvieri",2.9273026e-06,4.3431246e-06
4,"hammerhead, hammerhead shark",1.4237813e-06,1.3373519e-05
5,"electric ray, crampfish, numbfish, torpedo",1.4235669e-06,9.747246e-06
6,stingray,1.84055e-06,2.3543814e-06
7,cock,1.14420686e-07,1.80406e-06
8,hen,2.5865079e-08,2.9625573e-07
9,"ostrich, Struthio camelus",3.374459e-08,2.5457769e-07
10,"brambling, Fringilla montifringilla",3.9286302e-08,3.7894216e-07
11,"goldfinch, Carduelis carduelis",1.5288884e-07,1.4199555e-06
12,"house finch, linnet, Carpodacus mexicanus",9.405605e-07,6.220029e-06
13,"junco, snowbird",1.05916435e-07,3.772784e-07
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",1.0156125e-05,6.7474364e-05
15,"robin, American robin, Turdus migratorius",2.2760305e-07,1.8873259e-06
16,bulbul,2.305569e-07,6.933986e-07
17,jay,2.7327126e-06,2.6865799e-05
18,magpie,4.138089e-07,1.9418728e-06
19,chickadee,2.9607452e-07,2.9307707e-06
20,"water ouzel, dipper",2.1465023e-06,8.28907e-07
21,kite,3.8303913e-08,7.2893016e-08
22,"bald eagle, American eagle, Haliaeetus leucocephalus",5.718607e-07,3.912725e-07
23,vulture,8.984084e-08,2.4091463e-07
24,"great grey owl, great gray owl, Strix nebulosa",5.7973637e-08,2.9628401e-07
25,"European fire salamander, Salamandra salamandra",5.7782547e-08,7.7356924e-07
26,"common newt, Triturus vulgaris",1.17874364e-07,2.9780267e-07
27,eft,3.181236e-07,4.944341e-07
28,"spotted salamander, Ambystoma maculatum",7.466401e-08,1.3180635e-06
29,"axolotl, mud puppy, Ambystoma mexicanum",2.445334e-07,2.459071e-06
30,"bullfrog, Rana catesbeiana",8.677162e-07,4.1530616e-06
31,"tree frog, tree-frog",1.0826254e-07,1.2618932e-06
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2.1796798e-07,1.5404845e-06
33,"loggerhead, loggerhead turtle, Caretta caretta",2.978971e-07,9.445331e-07
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",2.9321905e-07,1.1025916e-06
35,mud turtle,2.2970164e-07,2.8261616e-07
