,kinetics_class,original_score,perturbated_score
0,abseiling,2.0800356e-10,2.357417e-06
1,air drumming,5.9799777e-07,0.0020584029
2,answering questions,3.5686527e-09,5.581632e-06
3,applauding,1.6838428e-08,1.1090374e-06
4,applying cream,1.6526529e-06,5.2697214e-06
5,archery,1.4336535e-08,0.00042351097
6,arm wrestling,4.491369e-08,4.173379e-06
7,arranging flowers,5.899018e-09,2.2900298e-05
8,assembling computer,3.239209e-09,0.00010935109
9,auctioning,8.49472e-08,7.3969227e-06
10,baby waking up,2.6741626e-10,2.9261673e-07
11,baking cookies,2.8893947e-08,1.0705747e-05
12,balloon blowing,1.8468737e-06,4.337366e-05
13,bandaging,6.9630086e-11,9.173328e-09
14,barbequing,4.0306455e-07,3.3782774e-06
15,bartending,0.21269731,0.00015618085
16,beatboxing,1.0366472e-07,0.0015517308
17,bee keeping,1.5706285e-11,9.55192e-08
18,belly dancing,2.9667232e-08,8.163041e-06
19,bench pressing,4.803512e-09,5.3129625e-06
20,bending back,7.121019e-09,0.00016226538
21,bending metal,8.8105545e-10,8.352557e-06
22,biking through snow,1.05881984e-10,7.951857e-05
23,blasting sand,2.5334727e-11,2.4485652e-07
24,blowing glass,1.6829992e-07,0.00025474472
25,blowing leaves,2.0612562e-10,8.148842e-07
26,blowing nose,3.1562644e-07,0.00014441102
27,blowing out candles,5.980659e-08,1.09578605e-05
28,bobsledding,4.6372603e-10,3.7801733e-06
29,bookbinding,7.256996e-09,4.82178e-07
30,bouncing on trampoline,8.766017e-10,6.2217273e-06
31,bowling,6.1701286e-08,9.962489e-06
32,braiding hair,1.398115e-09,6.242061e-07
33,breading or breadcrumbing,6.023368e-09,2.6573719e-06
34,breakdancing,1.092665e-08,0.00027781932
35,brush painting,6.2842614e-10,1.0064242e-06
36,brushing hair,5.4111267e-09,8.718452e-07
37,brushing teeth,1.0773875e-07,5.8905116e-06
38,building cabinet,7.4394165e-08,1.0907502e-05
39,building shed,2.5164126e-09,4.1707767e-06
40,bungee jumping,1.1099539e-09,7.6886965e-07
41,busking,1.2290828e-09,1.208802e-05
42,canoeing or kayaking,1.2815492e-09,4.8829165e-08
43,capoeira,5.388386e-09,1.36184e-06
44,carrying baby,2.4649982e-09,1.5353419e-07
45,cartwheeling,4.2237653e-09,1.647502e-05
46,carving pumpkin,1.01305675e-08,2.9366552e-06
47,catching fish,4.0291906e-10,1.2789277e-06
48,catching or throwing baseball,9.68808e-10,2.1418273e-06
49,catching or throwing frisbee,2.8356116e-08,3.915223e-05
50,catching or throwing softball,1.5059116e-10,1.2143781e-07
51,celebrating,8.758488e-08,1.3050021e-06
52,changing oil,2.4345476e-07,1.51020595e-05
53,changing wheel,4.8852304e-08,2.7424257e-05
54,checking tires,4.3077537e-09,4.23913e-07
55,cheerleading,6.772897e-10,1.923158e-06
56,chopping wood,2.134268e-08,0.0004133411
57,clapping,2.3552018e-09,8.2369725e-06
58,clay pottery making,9.080891e-10,1.4970415e-06
59,clean and jerk,2.7181417e-09,1.851674e-05
60,cleaning floor,5.285138e-07,4.9500133e-05
61,cleaning gutters,2.2220992e-09,6.535632e-07
62,cleaning pool,6.944202e-11,7.4406927e-07
63,cleaning shoes,1.6485129e-06,0.00010038543
64,cleaning toilet,2.8295823e-08,1.5529469e-07
65,cleaning windows,1.4862948e-08,5.718475e-07
66,climbing a rope,2.822724e-09,3.5661804e-05
67,climbing ladder,1.10644365e-08,0.00058394484
68,climbing tree,7.747102e-10,3.1910444e-05
69,contact juggling,1.304588e-07,0.0008468128
70,cooking chicken,8.9920724e-07,6.4817445e-06
71,cooking egg,4.3113484e-08,2.1251878e-06
72,cooking on campfire,3.8290797e-09,1.7372984e-05
73,cooking sausages,2.3475171e-07,6.5168265e-06
74,counting money,5.933639e-09,4.701237e-06
75,country line dancing,7.82061e-09,1.1773482e-05
76,cracking neck,1.1026698e-09,7.646836e-06
77,crawling baby,3.517045e-10,1.7428882e-06
78,crossing river,5.5585116e-12,7.6094004e-08
79,crying,1.87397e-09,2.9737719e-06
80,curling hair,2.892008e-08,6.9688303e-07
81,cutting nails,3.477992e-11,2.3789356e-08
82,cutting pineapple,2.39188e-09,9.241904e-06
83,cutting watermelon,2.5680862e-09,1.2328669e-05
84,dancing ballet,1.8668316e-09,1.9196927e-06
85,dancing charleston,2.4667148e-09,8.890637e-05
86,dancing gangnam style,2.8274242e-08,1.7623377e-05
87,dancing macarena,3.8927876e-08,5.9651706e-05
88,deadlifting,2.4002334e-06,0.053095896
89,decorating the christmas tree,2.4140198e-07,7.7274584e-05
90,digging,2.9967386e-09,1.8907067e-05
91,dining,3.954313e-06,1.9988041e-05
92,disc golfing,3.0531815e-09,3.2843043e-05
93,diving cliff,3.047394e-08,1.1516295e-06
94,dodgeball,1.4447985e-08,1.4931183e-05
95,doing aerobics,2.4823277e-09,4.5320022e-07
96,doing laundry,1.3515432e-08,1.1718794e-05
97,doing nails,1.2713647e-06,1.9027582e-06
98,drawing,1.6455158e-10,1.7152554e-06
99,dribbling basketball,9.622722e-10,5.5359355e-06
100,drinking,0.033670068,0.0001301692
101,drinking beer,0.24415186,0.00012506379
102,drinking shots,0.0133093875,0.00019113025
103,driving car,6.580412e-10,2.337877e-07
104,driving tractor,4.5104722e-11,2.2097739e-08
105,drop kicking,1.0560659e-08,8.575684e-05
106,drumming fingers,6.6026594e-08,0.00053523784
107,dunking basketball,6.1413132e-09,4.389988e-05
108,dying hair,3.2244998e-06,3.802547e-06
109,eating burger,1.6356794e-06,3.2906548e-06
110,eating cake,5.3494422e-09,4.168021e-06
111,eating carrots,8.806061e-08,8.4332424e-07
112,eating chips,5.8073216e-08,8.222757e-06
113,eating doughnuts,1.0132075e-08,9.635198e-07
114,eating hotdog,1.0205301e-06,2.7846852e-07
115,eating ice cream,2.192373e-09,6.8573354e-07
116,eating spaghetti,3.5764545e-09,7.490041e-06
117,eating watermelon,6.826083e-10,3.2963254e-07
118,egg hunting,5.664878e-09,3.0516455e-07
119,exercising arm,6.48224e-09,1.2266324e-05
120,exercising with an exercise ball,1.1072938e-09,8.165076e-07
121,extinguishing fire,7.2509357e-07,2.8023856e-05
122,faceplanting,9.886102e-09,9.1893526e-05
123,feeding birds,3.4119315e-11,9.060197e-09
124,feeding fish,1.0079213e-10,5.7516463e-09
125,feeding goats,1.1768908e-09,8.584717e-09
126,filling eyebrows,7.2882194e-09,7.354858e-06
127,finger snapping,1.9268556e-09,0.000106704334
128,fixing hair,7.862242e-07,1.7409406e-05
129,flipping pancake,2.0941537e-08,6.2713414e-05
130,flying kite,9.7268464e-11,1.6170475e-08
131,folding clothes,1.9444392e-10,5.0641265e-06
132,folding napkins,1.4854801e-10,1.03290915e-07
133,folding paper,6.1503713e-10,2.4542712e-06
134,front raises,4.1036433e-08,0.00080124364
135,frying vegetables,8.325647e-09,3.4290815e-07
136,garbage collecting,4.2844175e-07,1.6761873e-05
137,gargling,0.0013190412,0.00013473637
138,getting a haircut,3.352047e-10,4.159894e-07
139,getting a tattoo,1.0750063e-09,9.0459565e-08
140,giving or receiving award,7.810429e-09,2.425812e-06
141,golf chipping,8.380805e-09,0.0006342452
142,golf driving,1.3192681e-08,6.04544e-05
143,golf putting,3.80923e-09,1.8600731e-06
144,grinding meat,7.529878e-09,8.2560547e-07
145,grooming dog,5.7592136e-09,2.6284934e-07
146,grooming horse,4.058264e-08,1.1502915e-06
147,gymnastics tumbling,2.141117e-09,3.4188284e-05
148,hammer throw,1.1505038e-12,1.04898916e-07
149,headbanging,6.023041e-07,0.0141917635
150,headbutting,6.99441e-07,3.0247948e-05
151,high jump,1.3095234e-08,8.716153e-06
152,high kick,2.6613097e-06,0.00017597924
153,hitting baseball,1.8175903e-08,6.4002794e-05
154,hockey stop,1.994576e-09,0.00012817862
155,holding snake,2.74193e-11,3.1263422e-08
156,hopscotch,1.1216998e-09,2.0294183e-06
157,hoverboarding,1.1722405e-08,3.6444395e-05
158,hugging,2.2377138e-08,3.5713858e-06
159,hula hooping,5.659391e-09,0.00013984936
160,hurdling,3.35047e-09,1.4045884e-06
161,hurling (sport),8.594958e-10,5.9708276e-07
162,ice climbing,2.8413463e-11,3.7847724e-06
163,ice fishing,9.297927e-09,2.3960933e-05
164,ice skating,2.5129912e-10,1.4668258e-07
165,ironing,1.5109357e-09,3.7386133e-06
166,javelin throw,2.9098157e-10,2.6154398e-06
167,jetskiing,1.0824333e-10,7.931801e-09
168,jogging,2.0485408e-07,0.00075247907
169,juggling balls,2.174836e-08,0.00012549186
170,juggling fire,1.870689e-08,3.7311427e-05
171,juggling soccer ball,4.225047e-09,5.3427957e-05
172,jumping into pool,5.37311e-11,6.8785724e-08
173,jumpstyle dancing,1.946148e-08,0.00046165922
174,kicking field goal,1.459416e-09,2.5788524e-06
175,kicking soccer ball,5.5609667e-10,6.4752356e-07
176,kissing,1.5848105e-08,3.6491117e-06
177,kitesurfing,2.9833463e-10,8.276895e-08
178,knitting,2.423227e-11,1.0640465e-06
179,krumping,4.198001e-09,0.000656022
180,laughing,8.8698314e-08,5.7250913e-06
181,laying bricks,1.8997486e-09,7.543145e-06
182,long jump,1.6057498e-09,5.513693e-05
183,lunge,1.5018657e-08,0.0009862941
184,making a cake,2.7492082e-08,2.8624133e-06
185,making a sandwich,6.2918633e-07,2.5998197e-06
186,making bed,2.0679271e-10,4.7389944e-06
187,making jewelry,1.3711514e-09,3.5072807e-07
188,making pizza,3.7838743e-07,3.886811e-05
189,making snowman,1.7148744e-11,6.250488e-06
190,making sushi,9.155487e-09,3.106969e-06
191,making tea,2.3697328e-06,2.2141481e-05
192,marching,1.2639834e-09,1.1649302e-06
193,massaging back,1.201248e-09,2.1291598e-06
194,massaging feet,7.540236e-10,1.2878686e-06
195,massaging legs,3.938207e-09,8.7293336e-07
196,massaging person's head,2.0432123e-09,6.6778352e-06
197,milking cow,1.054689e-08,1.2135777e-06
198,mopping floor,2.9846923e-08,7.4813597e-06
199,motorcycling,1.1638142e-09,7.89541e-07
200,moving furniture,2.929492e-09,1.3373184e-06
201,mowing lawn,5.9627026e-10,3.220126e-05
202,news anchoring,6.2393896e-10,9.2377144e-07
203,opening bottle,0.04581894,2.2709371e-05
204,opening present,1.4814743e-09,1.0195693e-06
205,paragliding,3.4372013e-12,2.6169488e-08
206,parasailing,2.3283776e-11,4.390957e-08
207,parkour,3.2293773e-08,0.00010392592
208,passing American football (in game),2.722348e-10,3.1347122e-07
209,passing American football (not in game),2.670997e-10,4.5880574e-07
210,peeling apples,4.3656273e-10,1.0947377e-06
211,peeling potatoes,7.6874584e-10,8.014686e-08
212,petting animal (not cat),8.918777e-11,5.9237202e-08
213,petting cat,3.0941008e-09,2.5533818e-06
214,picking fruit,2.91297e-10,6.786577e-07
215,planting trees,1.8986075e-09,9.396095e-06
216,plastering,8.373427e-08,1.0124433e-05
217,playing accordion,2.8766083e-09,1.7490349e-05
218,playing badminton,2.8986902e-08,2.495927e-06
219,playing bagpipes,2.5470175e-09,4.022546e-06
220,playing basketball,1.2172824e-09,4.8041984e-06
221,playing bass guitar,1.0101818e-08,6.315292e-05
222,playing cards,6.991598e-10,2.6631218e-07
223,playing cello,8.1785086e-11,1.7569147e-06
224,playing chess,1.0858427e-07,1.4265409e-05
225,playing clarinet,2.0176266e-08,0.00025523864
226,playing controller,4.3657772e-10,1.7523021e-07
227,playing cricket,1.9331218e-08,4.2822107e-06
228,playing cymbals,5.7042677e-09,5.6911986e-06
229,playing didgeridoo,7.741608e-06,0.0011122087
230,playing drums,2.1301634e-09,7.172917e-05
231,playing flute,1.8147076e-09,6.986428e-06
232,playing guitar,8.232779e-09,0.0013822679
233,playing harmonica,7.5602834e-08,0.00063078373
234,playing harp,2.0179334e-09,2.0410093e-06
235,playing ice hockey,1.0559238e-10,2.039933e-06
236,playing keyboard,1.7827095e-09,0.00034730812
237,playing kickball,1.0381231e-09,1.5261573e-06
238,playing monopoly,1.31836755e-08,9.503671e-06
239,playing organ,7.890914e-09,0.00021865556
240,playing paintball,6.464969e-08,2.8363106e-06
241,playing piano,5.0353405e-10,6.055705e-07
242,playing poker,6.31622e-08,1.0400108e-06
243,playing recorder,4.2797232e-08,1.1493282e-05
