,kinetics_class,original_score,perturbated_score
0,abseiling,7.7791756e-10,1.6151867e-08
1,air drumming,5.8372818e-09,2.666927e-08
2,answering questions,6.1623644e-09,3.4504243e-08
3,applauding,2.4117836e-07,3.8049407e-06
4,applying cream,1.3794145e-09,4.0097965e-09
5,archery,5.401809e-08,3.387187e-06
6,arm wrestling,1.7728045e-10,8.791423e-09
7,arranging flowers,2.773142e-10,6.643456e-10
8,assembling computer,8.623936e-12,4.432395e-11
9,auctioning,1.4644745e-09,6.0970585e-08
10,baby waking up,2.2116839e-10,1.282361e-09
11,baking cookies,2.4022777e-09,7.4535485e-08
12,balloon blowing,9.367334e-09,1.8001671e-08
13,bandaging,4.3537207e-10,1.0644299e-08
14,barbequing,1.0595157e-09,1.2940836e-09
15,bartending,1.7935206e-10,5.5301688e-09
16,beatboxing,1.27492354e-08,2.3996736e-07
17,bee keeping,4.1711418e-10,1.3638404e-09
18,belly dancing,2.8873154e-10,4.9122866e-09
19,bench pressing,2.1464605e-10,2.7228115e-09
20,bending back,6.731253e-09,3.0072742e-09
21,bending metal,8.1651574e-10,2.1040218e-09
22,biking through snow,2.6604498e-12,9.723482e-07
23,blasting sand,1.27384474e-11,7.8344914e-10
24,blowing glass,8.4923957e-10,1.01254685e-08
25,blowing leaves,2.6053942e-10,4.3854214e-07
26,blowing nose,5.5620637e-09,4.499635e-08
27,blowing out candles,3.2698868e-09,2.795586e-09
28,bobsledding,2.9108602e-10,1.7319043e-06
29,bookbinding,4.0143538e-11,2.0547295e-09
30,bouncing on trampoline,8.472699e-08,2.6385626e-08
31,bowling,9.561525e-10,2.262343e-06
32,braiding hair,4.25996e-11,8.386254e-10
33,breading or breadcrumbing,1.0098328e-09,1.3398844e-09
34,breakdancing,2.9837313e-08,9.432076e-08
35,brush painting,1.1206986e-10,1.1173187e-08
36,brushing hair,3.879635e-10,1.204688e-08
37,brushing teeth,1.8418304e-09,3.7512052e-08
38,building cabinet,1.19754545e-11,2.2875255e-09
39,building shed,9.893777e-10,3.771372e-08
40,bungee jumping,1.5944943e-09,4.5263778e-07
41,busking,6.014813e-10,3.3363708e-07
42,canoeing or kayaking,3.1917938e-10,7.258772e-08
43,capoeira,3.141778e-09,3.235979e-09
44,carrying baby,2.1598406e-10,3.5715825e-08
45,cartwheeling,5.9385407e-06,1.1230566e-06
46,carving pumpkin,6.479185e-10,1.552936e-09
47,catching fish,5.7665983e-10,2.0969194e-08
48,catching or throwing baseball,4.885905e-05,0.00010661979
49,catching or throwing frisbee,9.163859e-05,0.0005157254
50,catching or throwing softball,0.0011928998,0.0003057866
51,celebrating,5.4390693e-08,4.5429752e-07
52,changing oil,4.780056e-11,1.1879256e-09
53,changing wheel,2.9703944e-11,2.6393718e-09
54,checking tires,2.1779846e-10,3.1871423e-08
55,cheerleading,6.1280167e-07,5.750762e-07
56,chopping wood,1.2357023e-09,3.2320823e-08
57,clapping,3.0654708e-09,2.4897453e-08
58,clay pottery making,4.1642873e-11,1.9271726e-08
59,clean and jerk,9.279114e-09,1.31363365e-08
60,cleaning floor,9.1282143e-10,1.303102e-07
61,cleaning gutters,4.0662085e-11,3.7759962e-10
62,cleaning pool,1.6271933e-09,6.961041e-08
63,cleaning shoes,1.8147529e-09,2.138238e-07
64,cleaning toilet,9.358664e-11,2.038165e-08
65,cleaning windows,3.0756833e-10,3.8227626e-08
66,climbing a rope,9.61649e-09,2.5752243e-08
67,climbing ladder,1.4940482e-09,3.746515e-08
68,climbing tree,9.591961e-09,9.6955404e-08
69,contact juggling,4.5044084e-09,1.6768327e-07
70,cooking chicken,7.203806e-09,2.0532016e-09
71,cooking egg,1.6464941e-08,8.85171e-09
72,cooking on campfire,3.3681613e-09,1.2559039e-09
73,cooking sausages,7.4645545e-10,6.8836266e-09
74,counting money,3.0502718e-09,3.788451e-08
75,country line dancing,1.6554839e-09,1.6305023e-08
76,cracking neck,3.9988887e-10,2.3025722e-08
77,crawling baby,5.406857e-09,3.0038418e-08
78,crossing river,2.9590466e-10,3.145984e-07
79,crying,6.448588e-09,9.2501773e-07
80,curling hair,8.899029e-12,2.1707597e-10
81,cutting nails,1.1977883e-10,2.2928766e-09
82,cutting pineapple,1.3929434e-09,1.16370504e-10
83,cutting watermelon,2.916458e-09,6.614249e-10
84,dancing ballet,7.6833406e-10,2.938883e-07
85,dancing charleston,3.195938e-09,3.243971e-08
86,dancing gangnam style,1.6328991e-08,1.1580605e-07
87,dancing macarena,7.4389567e-10,4.2718997e-09
88,deadlifting,3.6404255e-10,2.3488718e-09
89,decorating the christmas tree,1.2413376e-11,3.1534122e-09
90,digging,1.114401e-08,4.660408e-08
91,dining,9.765296e-10,8.029611e-08
92,disc golfing,3.368835e-06,7.3769843e-06
93,diving cliff,2.274973e-09,1.6420726e-07
94,dodgeball,9.533637e-08,2.9214057e-06
95,doing aerobics,1.9391323e-10,1.1598034e-09
96,doing laundry,3.8491277e-10,6.8702875e-09
97,doing nails,1.893945e-10,3.6043333e-09
98,drawing,6.852223e-11,1.2645766e-09
99,dribbling basketball,5.1759187e-08,4.3721816e-08
