,kinetics_class,original_score,perturbated_score
0,abseiling,3.357997e-10,6.877878e-10
1,air drumming,1.1756805e-10,9.336712e-12
2,answering questions,3.3462089e-09,1.8502766e-10
3,applauding,9.380272e-09,7.663938e-09
4,applying cream,2.2963e-11,1.7095518e-11
5,archery,2.4833602e-08,3.6938368e-09
6,arm wrestling,4.451872e-11,9.561992e-12
7,arranging flowers,1.0283827e-10,6.3471776e-11
8,assembling computer,9.853923e-13,1.1631806e-12
9,auctioning,5.135435e-10,1.2961905e-10
10,baby waking up,4.871313e-10,6.217826e-11
11,baking cookies,2.711175e-10,4.8333313e-11
12,balloon blowing,1.22579e-10,2.5656364e-11
13,bandaging,2.2004131e-11,8.439313e-12
14,barbequing,2.1436168e-09,9.474527e-11
15,bartending,1.052364e-11,6.703965e-12
16,beatboxing,1.9262604e-08,3.8413103e-10
17,bee keeping,1.0172464e-08,9.800951e-11
18,belly dancing,8.7849734e-11,5.4901994e-10
19,bench pressing,4.232494e-11,1.9359018e-11
20,bending back,3.6748004e-11,5.0496416e-11
21,bending metal,2.1930276e-10,1.1657982e-10
22,biking through snow,2.137197e-11,5.112436e-09
23,blasting sand,2.2107821e-12,1.202562e-13
24,blowing glass,1.1842145e-10,3.432941e-10
25,blowing leaves,1.4269997e-05,1.7836611e-07
26,blowing nose,1.8964307e-10,4.5958157e-10
27,blowing out candles,2.4094733e-11,2.8240674e-12
28,bobsledding,7.9349505e-09,0.00057548657
29,bookbinding,1.3332052e-12,1.9067382e-12
30,bouncing on trampoline,1.0572203e-08,1.1978284e-08
31,bowling,3.8225765e-09,4.3811634e-09
32,braiding hair,3.7815494e-11,7.310742e-11
33,breading or breadcrumbing,3.3296713e-11,1.7095976e-11
34,breakdancing,4.1806217e-08,1.5147178e-07
35,brush painting,2.3812694e-12,7.358709e-12
36,brushing hair,1.4237114e-09,9.0756486e-10
37,brushing teeth,1.05814055e-11,3.048104e-12
38,building cabinet,1.7923352e-11,1.3504388e-11
39,building shed,2.8760474e-09,8.504279e-10
40,bungee jumping,2.1869237e-11,4.81562e-10
41,busking,6.9747235e-09,3.3162742e-08
42,canoeing or kayaking,3.149181e-08,0.00010090269
43,capoeira,2.398411e-10,9.322007e-10
44,carrying baby,2.151982e-09,4.7623044e-10
45,cartwheeling,3.784111e-07,3.6217024e-08
46,carving pumpkin,1.5270931e-09,2.3377012e-11
47,catching fish,1.1897551e-09,2.8480294e-09
48,catching or throwing baseball,3.6985384e-08,6.8957986e-09
49,catching or throwing frisbee,2.153973e-06,3.2221462e-06
50,catching or throwing softball,1.38087275e-08,8.597098e-09
51,celebrating,1.9893889e-09,1.2733143e-09
52,changing oil,4.2539675e-10,3.5757124e-09
53,changing wheel,1.8944468e-09,1.0769847e-10
54,checking tires,3.090039e-11,2.9136034e-11
55,cheerleading,3.6913157e-11,2.025187e-09
56,chopping wood,1.6748574e-08,1.265341e-10
57,clapping,1.9411637e-09,2.7640232e-10
58,clay pottery making,7.85266e-11,1.2266604e-11
