,kinetics_class,original_score,perturbated_score
0,abseiling,7.665812e-09,1.5676943e-09
1,air drumming,7.987881e-05,0.00010807389
2,answering questions,1.06911e-07,1.262403e-07
3,applauding,2.7315618e-06,9.83777e-07
4,applying cream,8.4707e-08,7.7368185e-08
5,archery,1.952081e-06,8.7677655e-08
6,arm wrestling,1.8034455e-06,8.453896e-07
7,arranging flowers,3.0581901e-09,3.9375442e-10
8,assembling computer,5.0810115e-08,9.277525e-08
9,auctioning,6.447758e-08,1.92386e-08
10,baby waking up,1.00714146e-07,3.0225935e-09
11,baking cookies,7.751638e-08,1.8364254e-08
12,balloon blowing,2.4622502e-06,1.373901e-08
13,bandaging,1.8367551e-07,4.4149953e-08
14,barbequing,2.2136287e-08,1.0662729e-08
15,bartending,2.3858266e-07,2.2268607e-06
16,beatboxing,5.7028233e-06,2.5158647e-06
17,bee keeping,1.0424012e-10,5.040556e-11
18,belly dancing,1.7131458e-06,2.742315e-07
19,bench pressing,3.076017e-06,3.077011e-07
20,bending back,3.5399216e-07,3.026248e-07
21,bending metal,5.9501843e-07,4.1211453e-07
22,biking through snow,1.999148e-07,7.70254e-08
23,blasting sand,2.2466706e-08,1.6792652e-09
24,blowing glass,1.6165173e-07,1.107398e-08
25,blowing leaves,5.484213e-07,1.1516808e-08
26,blowing nose,1.4059052e-06,3.612424e-07
27,blowing out candles,1.2650891e-07,1.6683944e-09
28,bobsledding,1.1598419e-05,1.6647915e-05
29,bookbinding,2.832084e-08,6.5449797e-09
30,bouncing on trampoline,7.5932817e-06,2.8982263e-06
31,bowling,3.4234058e-06,4.408789e-06
32,braiding hair,3.242424e-06,1.3160788e-08
33,breading or breadcrumbing,1.2520015e-09,1.5251523e-09
34,breakdancing,0.0024040807,0.96562284
35,brush painting,1.590872e-08,1.3791591e-09
36,brushing hair,1.3821109e-05,1.7708942e-07
37,brushing teeth,4.986872e-08,1.0759623e-09
38,building cabinet,3.5646246e-07,1.4009372e-08
39,building shed,5.4959877e-09,3.3533536e-09
40,bungee jumping,1.0815555e-09,3.447691e-10
41,busking,2.364591e-05,2.2443468e-05
42,canoeing or kayaking,2.0075936e-08,1.4713422e-09
43,capoeira,3.2736894e-05,0.00042687837
44,carrying baby,2.2810564e-06,7.248921e-08
45,cartwheeling,0.00027298482,0.000114486524
46,carving pumpkin,6.886594e-07,9.809187e-09
47,catching fish,2.2402617e-07,3.5869704e-08
48,catching or throwing baseball,0.00010476586,2.5684722e-06
49,catching or throwing frisbee,0.00021193744,9.144485e-07
50,catching or throwing softball,4.0930504e-06,9.731688e-08
51,celebrating,2.4293962e-05,2.080377e-06
52,changing oil,1.6847082e-06,1.4328575e-07
53,changing wheel,5.112392e-06,3.8766223e-07
54,checking tires,1.9224701e-07,1.4078805e-08
55,cheerleading,3.3677543e-06,1.3831537e-06
56,chopping wood,1.9673443e-08,5.0066923e-08
57,clapping,4.5805187e-05,7.512428e-05
58,clay pottery making,8.272136e-09,8.6152296e-10
59,clean and jerk,2.1183001e-05,2.6985907e-08
60,cleaning floor,3.7679863e-05,1.8316148e-05
61,cleaning gutters,2.8023749e-08,1.4779915e-09
62,cleaning pool,7.6664115e-09,1.369853e-08
63,cleaning shoes,1.1435886e-05,5.3958945e-07
