,kinetics_class,original_score,perturbated_score
0,abseiling,3.833084e-10,3.2079948e-09
1,air drumming,9.562498e-13,2.853199e-10
2,answering questions,8.025912e-11,1.5525636e-09
3,applauding,4.3366963e-11,2.2064903e-09
4,applying cream,1.6014799e-10,5.4174238e-11
5,archery,2.57482e-10,2.359758e-09
6,arm wrestling,2.3400778e-12,9.868684e-12
7,arranging flowers,1.1101655e-14,3.8019986e-11
8,assembling computer,2.4321953e-13,1.2675662e-10
9,auctioning,2.5800998e-14,3.0732185e-12
10,baby waking up,6.001793e-11,2.0913395e-09
11,baking cookies,1.8797308e-13,1.440258e-10
12,balloon blowing,1.3874562e-11,6.067068e-10
13,bandaging,7.574803e-11,2.7303787e-10
14,barbequing,2.6337502e-13,1.5029031e-09
15,bartending,3.0565953e-14,1.8207635e-11
16,beatboxing,5.965429e-12,2.6419655e-10
17,bee keeping,1.4187018e-11,1.64986e-10
18,belly dancing,9.835813e-13,1.4298195e-09
19,bench pressing,1.0403422e-12,4.4079168e-10
20,bending back,7.326936e-11,2.1116564e-10
21,bending metal,3.2944766e-10,4.9554503e-11
22,biking through snow,1.2427735e-11,4.3588902e-10
23,blasting sand,1.635195e-10,7.2700324e-10
24,blowing glass,6.1104225e-13,4.5317204e-08
25,blowing leaves,1.0610625e-10,1.2851867e-10
26,blowing nose,1.3877315e-11,7.4428197e-10
27,blowing out candles,4.5730767e-12,5.008592e-09
28,bobsledding,5.594332e-10,8.3652346e-10
29,bookbinding,5.1861517e-14,7.9042784e-13
30,bouncing on trampoline,7.927022e-11,1.0234487e-10
31,bowling,3.736325e-12,7.171721e-11
32,braiding hair,1.7426241e-12,6.807113e-11
33,breading or breadcrumbing,1.9056221e-12,6.6117396e-11
34,breakdancing,1.4016406e-12,2.6016805e-10
35,brush painting,3.7889965e-11,1.255853e-11
36,brushing hair,2.40886e-11,1.2071376e-09
37,brushing teeth,1.4441585e-10,3.4276435e-09
38,building cabinet,3.8809255e-13,6.8048605e-13
39,building shed,1.0148795e-11,5.0222864e-11
40,bungee jumping,3.3481145e-09,1.766858e-09
41,busking,5.9989253e-13,2.8240691e-11
42,canoeing or kayaking,5.133898e-06,1.8839837e-06
43,capoeira,2.3409275e-11,5.494576e-11
44,carrying baby,4.676027e-12,1.6338566e-11
45,cartwheeling,1.2973761e-09,1.6843149e-09
46,carving pumpkin,6.4178307e-12,2.1898529e-10
47,catching fish,7.098948e-08,2.0504827e-09
48,catching or throwing baseball,3.530238e-11,1.7962838e-10
49,catching or throwing frisbee,4.4655213e-09,5.354794e-09
50,catching or throwing softball,5.2365095e-13,2.0811022e-12
51,celebrating,1.488803e-09,4.4008143e-08
52,changing oil,2.0185897e-12,3.1313722e-11
53,changing wheel,1.4979127e-12,7.4795135e-12
54,checking tires,3.3740792e-12,1.8909738e-11
55,cheerleading,2.0350598e-14,4.367674e-12
56,chopping wood,2.4602328e-12,3.747921e-10
57,clapping,2.1213963e-11,9.13055e-10
58,clay pottery making,1.5724811e-12,6.9803625e-12
59,clean and jerk,4.766848e-14,1.935348e-11
60,cleaning floor,2.381625e-09,1.6362472e-09
61,cleaning gutters,1.5245727e-11,4.1227757e-10
62,cleaning pool,0.002583847,5.434887e-06
63,cleaning shoes,1.2734376e-10,3.0602187e-10
64,cleaning toilet,4.7565067e-09,9.700572e-09
65,cleaning windows,1.1501902e-09,2.4495097e-09
66,climbing a rope,2.0976092e-11,2.5446515e-11
67,climbing ladder,9.201582e-10,1.3155742e-09
68,climbing tree,6.2913494e-11,9.540883e-11
69,contact juggling,8.7969194e-11,1.4145539e-08
70,cooking chicken,4.678496e-13,8.533719e-11
71,cooking egg,7.524974e-12,4.9764143e-10
72,cooking on campfire,1.7331704e-12,2.2405708e-09
73,cooking sausages,2.048345e-12,1.1179108e-10
74,counting money,3.2037764e-12,2.3015785e-10
75,country line dancing,1.10439185e-13,2.7600235e-11
76,cracking neck,2.7887343e-12,2.8727704e-10
77,crawling baby,4.865817e-11,9.227665e-10
78,crossing river,1.8777842e-10,9.376931e-10
79,crying,8.560079e-11,3.218886e-09
80,curling hair,2.1527618e-11,2.4502048e-10
81,cutting nails,7.997256e-12,6.170172e-10
82,cutting pineapple,1.3003843e-12,1.031401e-10
83,cutting watermelon,5.234864e-12,2.479205e-10
84,dancing ballet,1.9680839e-11,1.4830073e-09
85,dancing charleston,2.370824e-13,2.2088895e-10
86,dancing gangnam style,1.8937846e-12,3.5487038e-10
87,dancing macarena,6.8506524e-12,3.0700167e-10
88,deadlifting,9.614708e-14,2.49707e-12
89,decorating the christmas tree,7.75067e-13,8.693039e-11
90,digging,1.7327326e-10,1.0174016e-10
91,dining,3.9858884e-15,2.7185043e-10
92,disc golfing,2.1925402e-10,7.846215e-11
93,diving cliff,2.9529824e-07,3.6709005e-06
94,dodgeball,1.773078e-11,1.7319915e-11
95,doing aerobics,6.247022e-11,9.582328e-09
96,doing laundry,7.825691e-12,7.906171e-11
97,doing nails,6.860276e-12,9.215295e-11
98,drawing,1.9099498e-11,2.6875953e-11
99,dribbling basketball,1.0940271e-12,2.8413192e-12
100,drinking,1.1969338e-11,1.8234718e-10
101,drinking beer,3.751781e-11,8.6814617e-10
102,drinking shots,9.823927e-13,6.638756e-11
103,driving car,1.3625974e-10,1.4114975e-08
104,driving tractor,1.2623738e-10,1.2291198e-07
105,drop kicking,8.731646e-10,1.0576226e-08
106,drumming fingers,1.6377871e-12,3.1052085e-11
107,dunking basketball,5.0869857e-11,1.0975443e-09
108,dying hair,4.4080377e-12,7.496242e-11
109,eating burger,8.859837e-13,1.8083061e-09
110,eating cake,1.8577461e-13,3.9698292e-10
111,eating carrots,2.5896115e-13,4.2940057e-10
112,eating chips,4.3156446e-12,1.7116419e-09
113,eating doughnuts,1.1358823e-12,8.2808127e-10
114,eating hotdog,9.382587e-13,2.652205e-10
115,eating ice cream,6.011628e-13,2.340951e-10
116,eating spaghetti,4.156246e-13,4.759099e-10
117,eating watermelon,3.795714e-12,1.3715123e-10
118,egg hunting,2.540035e-11,1.977638e-11
119,exercising arm,2.1513231e-13,1.7093205e-11
120,exercising with an exercise ball,1.1064762e-11,1.5517754e-10
121,extinguishing fire,2.586054e-12,3.9174014e-07
122,faceplanting,9.158788e-10,4.5364946e-08
123,feeding birds,5.8665286e-12,7.517992e-11
124,feeding fish,1.9503148e-06,1.0970352e-06
125,feeding goats,2.0560474e-13,8.274032e-12
126,filling eyebrows,1.6163709e-08,5.7167937e-10
127,finger snapping,1.026378e-12,5.354153e-12
128,fixing hair,1.8406535e-10,3.466009e-10
129,flipping pancake,2.9800943e-14,2.6800923e-10
130,flying kite,3.8595754e-10,8.2999935e-10
131,folding clothes,2.751332e-13,1.1300786e-11
132,folding napkins,1.7056852e-12,3.9820343e-12
133,folding paper,4.4395636e-11,1.4803586e-10
134,front raises,2.6096082e-13,4.8495385e-11
135,frying vegetables,2.031529e-12,7.3193557e-10
136,garbage collecting,7.6070754e-11,4.5621982e-11
137,gargling,1.6434487e-11,1.6121052e-10
138,getting a haircut,4.0813668e-12,4.3898946e-10
139,getting a tattoo,1.3813197e-11,5.2977765e-11
140,giving or receiving award,2.0789308e-13,1.9179556e-11
141,golf chipping,1.3287696e-11,4.2522878e-12
142,golf driving,2.839713e-10,2.6833966e-10
143,golf putting,1.9038549e-10,1.9411127e-10
144,grinding meat,1.2765175e-12,3.1767872e-10
145,grooming dog,3.2040304e-10,1.0093508e-07
146,grooming horse,9.144388e-10,4.784757e-10
147,gymnastics tumbling,2.2245376e-10,2.5205856e-11
148,hammer throw,2.0162886e-12,1.801504e-12
149,headbanging,3.494962e-12,1.6820869e-09
150,headbutting,4.9141324e-10,6.7709536e-09
151,high jump,1.030805e-10,9.59426e-11
152,high kick,3.791809e-11,1.01580196e-10
153,hitting baseball,6.366769e-12,3.2934194e-11
154,hockey stop,3.1765732e-11,9.805507e-09
155,holding snake,3.4813932e-10,2.48211e-10
156,hopscotch,4.751775e-12,1.0433115e-11
